Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
B. Mayfield TB,vs WAS,37,30,24,289,4,0,0,3,21,0,0,0,0,0,0,0,1
J. Allen BUF,vs ARI,35,23,18,232,2,0,0,9,39,2,0,0,0,0,0,1,1
A. Richardson IND,vs HOU,29,19,9,212,2,1,0,6,56,1,0,0,0,0,0,0,1
D. Carr NO,vs CAR,27,23,19,200,3,0,0,2,13,0,0,0,0,0,0,0,1
J. Daniels WAS,@ TB,27,24,17,184,0,0,0,16,88,2,0,0,0,0,0,0,1
L. Jackson BAL,@ KC,27,41,26,273,1,0,0,16,122,0,0,0,0,0,0,1,1
C. Stroud HOU,@ IND,22,32,24,234,2,0,0,4,13,0,0,0,0,0,0,0,1
J. Hurts PHI,vs GB,21,34,20,278,2,2,0,13,33,0,0,0,0,0,0,1,1
J. Love GB,@ PHI,20,34,17,260,2,1,0,0,0,0,0,0,0,0,0,0,1
T. Tagovailoa MIA,vs JAX,20,37,23,338,1,0,0,1,11,0,0,0,0,0,0,0,1
G. Smith SEA,vs DEN,19,25,18,171,1,1,0,4,30,1,0,0,0,0,0,0,1
S. Darnold MIN,@ NYG,18,24,19,208,2,1,0,3,3,0,0,0,0,0,0,0,1
P. Mahomes KC,vs BAL,16,28,20,291,1,1,0,2,3,0,0,1,2,0,0,0,1
K. Murray ARI,@ BUF,16,31,21,162,1,0,0,5,57,0,0,0,0,0,0,1,1
M. Stafford LA,@ DET,16,49,34,317,1,1,0,0,0,0,0,0,0,0,0,0,1
G. Minshew LV,@ LAC,13,33,25,257,1,1,0,3,5,0,0,0,0,0,0,1,1
D. Prescott DAL,@ CLE,13,32,19,179,1,0,0,1,3,0,0,0,0,0,0,0,1
J. Goff DET,vs LA,12,28,18,217,1,1,0,1,7,0,0,0,0,0,0,0,1
T. Lawrence JAX,@ MIA,12,21,12,162,1,0,0,1,8,0,0,0,0,0,0,0,1
J. Fields PIT,@ ATL,11,23,17,156,0,0,0,14,57,0,0,0,0,0,0,0,1
J. Herbert LAC,vs LV,11,26,17,144,1,0,0,4,6,0,0,0,0,0,0,0,1
D. Watson CLE,vs DAL,11,45,24,169,1,2,0,5,39,0,0,0,0,0,0,0,1
B. Nix DEN,@ SEA,10,42,26,138,0,2,0,5,35,1,0,0,0,0,0,0,1
B. Purdy SF,vs NYJ,10,29,19,231,0,0,0,1,11,0,0,0,0,0,0,0,1
A. Rodgers NYJ,@ SF,10,21,13,167,1,1,0,1,-1,0,0,0,0,0,0,0,1
W. Levis TEN,@ CHI,9,32,19,127,1,2,0,4,36,0,0,0,0,0,0,1,1
B. Young CAR,@ NO,9,30,13,161,0,2,0,4,12,1,0,0,0,0,0,0,1
K. Cousins ATL,vs PIT,8,26,16,155,1,2,0,1,0,0,0,0,0,0,0,0,1
J. Brissett NE,@ CIN,7,24,15,121,0,0,0,7,32,0,0,0,0,0,0,0,1
J. Burrow CIN,vs NE,7,29,21,164,0,0,0,4,15,0,0,0,0,0,0,0,1
T. Taylor NYJ,@ SF,7,8,6,36,1,0,0,1,7,0,0,0,0,0,0,0,1
C. Williams CHI,vs TEN,6,29,14,93,0,0,1,5,15,0,0,0,0,0,0,0,1
D. Jones MIN,@ NYG,4,42,22,186,0,2,0,6,15,0,0,0,0,0,0,0,1
B. Allen SF,vs NYJ,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1
A. Dalton CAR,@ NO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
J. Haener NO,vs CAR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C. Rush DAL,@ CLE,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1
K. Trask TB,vs WAS,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,1
M. Willis GB,@ PHI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
K. Murray ARI,vs LA,33,21,17,266,3,0,0,5,59,0,0,0,0,0,0,0,2
D. Carr NO,@ DAL,25,16,11,243,2,1,0,1,1,1,0,0,0,0,0,0,2
J. Hurts PHI,vs ATL,25,30,23,183,1,1,0,13,85,1,0,0,0,0,0,0,2
S. Darnold MIN,vs SF,23,26,17,268,2,1,0,5,32,0,0,0,0,0,0,0,2
D. Jones MIN,@ WAS,22,28,16,178,2,0,0,5,32,0,0,0,0,0,0,0,2
J. Burrow CIN,@ KC,21,36,23,258,2,0,0,6,9,0,0,0,0,0,0,1,2
K. Cousins ATL,@ PHI,21,29,20,241,2,0,0,4,-1,0,0,0,0,0,0,0,2
B. Mayfield TB,@ DET,20,19,12,185,1,1,0,5,34,1,0,0,0,0,0,0,2
A. Rodgers NYJ,@ TEN,19,30,18,176,2,0,0,2,1,0,0,0,0,0,0,0,2
G. Smith SEA,@ NE,19,44,33,327,1,0,0,5,8,0,0,0,0,0,0,0,2
L. Jackson BAL,vs LV,17,34,21,247,1,1,0,5,45,0,0,0,0,0,0,0,2
